#snr  sigma
      5.03982      4.61575
      15.3255      2.65310
      21.6298      2.43512
      3.51604      7.90344
      4.08322      4.07477
      13.0913      2.93608
      20.9157      2.34036
      18.1047      2.88272
      5.79850      4.63040
      8.16234      3.58196
      8.95240      2.83532
      4.72566      4.66329
      36.9561      2.23426
      4.81960      9.02867
      6.26789      3.17032
      9.21328      2.73210
      4.24345      4.98237
      5.84028      4.44204
      35.2259      2.25862
      18.4085      2.24283
      3.68772      6.66616
      6.32351      3.22536
      36.3911      2.22385
      12.8767      2.76198
      4.64946      4.40140
      36.8854      2.22859
      4.93147      6.26838
      4.29450      5.04675
      44.6542      2.22716
      5.19225      4.50824
      15.7138      2.37558
      6.07639      3.96442
      21.3915      2.35809
      6.87473      3.95208
      6.93323      3.82854
      6.88247      4.56677
      5.19552      6.43126
      6.33990      9.26544
      12.1004      2.79044
      8.26119      3.33652
      11.8223      3.10162
      4.85966      4.00486
      4.44255      4.21610
      6.26394      5.14834
      6.17585      3.50481
      4.77704      4.99478
      5.18026      5.70258
      5.42510      4.40587
      33.8322      2.25472
      5.14933      3.83872
      5.03692      3.87314
      8.26836      2.69306
      4.05088      4.29129
      10.5792      3.25399
      4.10776      6.36594
      3.82190      6.78938
      12.8613      2.75043
      8.66560      4.17293
      3.99594      13.6460
      11.0521      2.67426
      11.0614      2.75783
      15.6433      2.37249
      5.86603      3.98155
      10.7951      3.03858
      33.4827      2.22959
      8.09818      2.87452
      17.1037      2.35126
      13.8946      2.47550
      6.14847      3.38876
      6.85366      3.05326
      6.39270      3.54975
      22.4137      2.36194
      22.3225      2.33039
      15.6267      2.59222
      3.65889      19.5466
      21.1141      2.35506
      6.85083      3.44754
      41.6530      2.22328
      36.8199      2.41659
      37.7592      2.27169
      7.58875      3.31614
      3.80235      6.98831
      11.7172      2.69658
      6.62192      3.27150
      6.88662      3.64769
      30.1344      2.22884
      13.5497      2.46052
      4.93179      4.16463
      27.6842      2.31581
      6.22850      13.4296
      5.65364      4.24679
      8.91745      2.70732
      4.88392      4.14391
      4.91663      3.70367
      11.1551      2.71117
      8.44801      3.17321
      11.5650      2.84681
      14.1349      2.68701
      14.3172      4.83253
      15.6864      5.64037
      6.89417      3.44190
      21.1457      2.34151
      12.7352      2.65877
      17.6425      2.40088
      7.96259      3.88375
      71.9201      2.20992
      9.77742      3.01502
      26.2373      2.27142
      43.4748      2.22300
      10.4533      2.85355
      10.0700      3.04699
      17.3427      2.39116
      8.31908      3.60480
      16.7200      2.44686
      5.31068      4.98340
      26.4918      2.40899
      9.84058      3.00366
      14.1608      2.56526
      10.1449      3.36770
      3.15159      6.30852
      4.41801      4.59131
      14.8562      2.68427
      13.7269      3.28471
      3.79891      4.15918
      4.32373      6.00106
      4.77012      16.2408
      6.39078      12.4324
      3.75521      22.1507
      4.21962      29.3891
      7.44305      3.94810
      5.23760      7.09955
      6.29357      4.26411
      4.21838      8.19720
      5.79066      4.89856
      6.08176      3.85283
      6.44936      3.15106
      5.96760      6.22678
      5.11286      10.8572
      4.33913      6.59723
      4.04385      5.03005
      4.57326      7.53143
      4.50961      4.78101
      3.22751      7.88033
      3.29333      7.11125
      5.94436      23.2897
      5.54694      5.13765
      3.65611      4.81431
      5.32326      7.21400
      4.94949      8.29971
      4.80395      9.22456
      5.81339      7.28835
      5.19467      5.30388
      5.67716      4.91795
      4.44670      4.91337
      3.28065      5.03476
      5.09047      9.07646
      3.91527      40.9032
      2.84479      5.47391
      5.61295      2.99191
      4.62191      4.67664
      3.72847      5.06149
      3.88449      4.84017
      7.38646      4.95661
      5.68094      5.53672
      9.70881      4.22993
      12.3680      3.00212
      7.96772      3.22539
      6.61528      4.50609
      23.0978      2.39451
      8.20601      2.84919
      53.0020      2.21643
      57.2646      2.21318
      10.8860      2.95260
      10.3897      3.07736
      16.7315      2.43577
      8.13578      3.11407
      17.0310      2.38383
